GUID,conductivity,pH,W_1,R_W,PI
{1911DC75-1835-7EC5-3AEE-42823185BC83},99.4,8.8,2.330794,0.9083605001685544,0.5865672368202901
{6D135743-3627-79A7-12D5-45AEE4451233},118.4,8.76,2.355997,0.8981594189251884,0.6479643458995996
{C97C36CE-3313-10BF-89BE-48CB479E5D28},129.4,8.67,2.436607,0.9270227535761,0.7151492890458518
{EB620CCA-124A-1E69-D611-437B1308E122},135.0,8.54,2.475701,0.9322620062999302,0.7643843451847654
{DCBE6D3D-89D3-369D-5EB3-7BC1DF89FBAD},136.1,8.39,2.510912,0.928440981660152,0.7757669745322571
{D548E380-7A76-7F85-7ECA-3318104D9E40},82.8,8.92,2.317306,0.908176190349286,0.5026670116774727
{4ACDD325-3E35-6C77-DA8F-D5B2C0AAFAC0},101.6,8.82,2.224439,0.8602717210547077,0.570093419064148
{CD48889B-3423-2BC3-9D5E-3416508C2B9B},113.6,8.68,2.433895,0.9268188939077876,0.6718711362638676
{6658B1A3-ED8D-8481-827A-E65820B03D69},120.6,8.54,2.491674,0.931279267467228,0.7281018225463116
{8EAAA4C5-CB68-9CAD-60A6-55CBE4C2D54F},122.8,8.38,2.511341,0.9337433413359378,0.7413616727125236
{F5D1C1C0-4C95-7269-94F9-6BD33CB52EE2},86.9,8.75,2.384353,0.9242566727344332,0.5812380315823162
{69A49FAD-2376-C931-EB8A-96036768C9D8},98.9,8.65,2.229723,0.8529157275777703,0.61949893481586
{CFC2A9CE-0D7B-9BBD-8881-B9C24619DB21},106.8,8.52,2.466446,0.9260655713084224,0.6940302582326815
{AA671CDC-B22E-64B4-3E61-4AA24E93BAE8},110.2,8.36,2.531514,0.931529724152447,0.7108706831981483
{E44FB683-610A-FD8C-5BE5-AC6818233D3A},86.7,8.59,2.384665,0.912449899080726,0.6252095356584012
{038F6478-5D85-3F7D-E442-2CA54C027760},94.5,8.49,2.461994,0.9306578807106888,0.6677779055155674
{F777D1FA-6CBF-C227-CBD7-6DF44F5726A4},98.4,8.35,2.498677,0.9348691014069372,0.6799030862020449
{EBE7F746-2744-CC07-2FE8-974E7962D177},83.4,8.44,2.428525,0.923662205926819,0.6400035023555206
{1AB2F97D-49C6-37BC-C393-4D0D4DDADC27},87.7,8.33,2.499654,0.9293454680515584,0.6550725992825277
{7D49E1E7-DA6B-5398-E88E-1CDBB4ED4821},78.2,8.28,2.506775,0.9290166808113226,0.6347491682365717
{2631565A-3DD4-93AB-D447-711533898A4C},37.6,8.55,1.843585,0.7669202427241615,0.4939519178345367
{30D186D1-8D4B-7FCE-3309-934A1C598E76},57.5,8.67,2.124336,0.8592681520000711,0.5181152355600271
{468DBDC0-3C59-54DF-40D2-6437461BFE6D},69.0,8.64,2.034808,0.825324228897997,0.5386119198959989
{8857FDA4-D355-639E-C6D7-CA079B7FC5A2},74.8,8.57,2.189867,0.8551064867475827,0.5842302306765382
{FEED1697-6B52-32F8-1842-676B879BB215},76.3,8.48,2.202168,0.8610917121748766,0.6036424464345198
{8BCB596C-FA14-81EE-BC27-0798A581BFCE},74.5,8.39,2.399357,0.9212231439482071,0.6188177126161178
{55D7E85D-31DC-67DC-88C0-93723C35AD19},70.5,8.28,2.4365170000000003,0.9291512349445372,0.6137167913848264
{CB274B1F-C756-74A0-5F0C-DA4CF88980F0},54.1,9.22,1.950726,0.7884237797115038,0.269481277274245
{A193856D-2881-6584-2B11-5AA5C4C58728},91.5,9.13,2.056371,0.8176061344385458,0.4019317721198476
{D2B4FA6C-8582-5DC5-7CF2-5A3CB5D0ED40},118.2,8.99,2.200462,0.8510028897084302,0.5369073008229176
{DDD893B4-0250-16A8-3F83-ABA805612897},136.0,8.84,2.321873,0.8750435755587942,0.6531262259349591
{B29332A8-EF54-8652-D277-B7A4296A26D8},146.5,8.69,2.410728,0.894896952738096,0.7456636026612974
{6C16C74A-F5C0-CAE1-376B-C378310069B2},150.7,8.53,2.382739,0.8806892083241085,0.7894730286880021
{7008C3E9-1DC4-9527-6069-DB5A2F2BF22B},150.7,8.38,2.530224,0.9280365841447432,0.8165291565253447
{FCBCED67-798D-7B9D-2BC3-ECC99D66B69E},76.0,6.0,1.637049,0.9453104879550144,0.3852694756073119
{655AD7D5-A53E-2DD2-41C3-12B0AA6C9F16},134.3,5.89,1.638327,0.9618676234106373,0.4682125250482827
{C63CBD5C-8473-BCA6-D4FD-8AAB75705D4A},178.4,5.75,1.6190060000000002,0.9564986724863792,0.5019261119894536
{C4AE261D-2419-41D8-6104-2C3B8DBADE95},169.9,7.27,1.725772,0.9639364187097632,0.7158986365579088
{4DBDD753-959C-5410-5451-DF8D0BD4439E},159.9,5.86,1.748761,0.9763729014744744,0.5183183272491982
{19D56FD7-675B-8AC8-3BB5-2DDD515AB9B7},154.3,6.76,2.488599,0.9043012284344456,0.8184462265561523
{5DD5296E-E0EB-BBBB-516C-986C5E7A068C},128.5,5.48,1.486424,0.8817200856792201,0.3396006007939519
{FFA1B498-EC5A-CC32-69DD-9658D12BAF83},158.1,6.66,1.721737,0.9606342046943244,0.7000204443155055
{430B0878-5715-CC63-C1CB-EFFC6F448E77},168.5,6.53,1.697604,0.9530868578075912,0.70887101087855
{DC602CDE-9BB9-F073-8113-D3176BCB82D3},156.6,6.59,1.809069,1.0608496324991117,0.7158270095894936
{A9E415AD-E124-5D4C-BB3C-B286D8363ADF},174.0,6.59,1.693053,0.9490372310281175,0.7140780855751993
{731BC1B4-E291-E5D5-BD46-ADA505BF0446},155.3,6.33,1.737425,0.9709555788905424,0.6663980459998898
{130B480A-ADA3-44BA-8E5E-ABDCADEEAB64},155.3,6.12,1.731206,0.9698345091154156,0.6006104110282873
{B594CEB8-BF5E-6554-9C41-6EA8B9E532E3},194.7,5.64,1.669511,0.9619375986346856,0.5003287681671618
{A698F332-BCE8-0829-0B74-8D67899273EC},167.4,6.6,1.719472,0.9408607798847858,0.7108422038981489
{25A5C78B-5F1C-36B9-06E6-2DA98ABA1868},167.4,6.91,1.673088,0.9328458777684911,0.7024882954781273
{2F1CD03B-153F-7A76-8C74-A4AABA487A71},166.7,6.41,1.594783,0.9208349500660552,0.6741680081732595
{7EE75A76-6EF8-1766-0757-BC6710847267},157.3,6.37,1.731764,0.9634903131547704,0.6777948679229893
{42D791CD-1212-8313-668D-775257ED72E9},150.1,6.31,2.482432,0.9215736937611188,0.7651871295560096
{B4210D94-1DC7-CE9F-E117-B8FA8D5D7AAC},156.7,6.83,1.829222,1.0541444054430815,0.7193903207521157
{469E219E-4D63-6157-B750-CCFE727B7791},156.6,6.22,1.727331,0.9579131366447744,0.634957617127545
{B7529651-6529-36CB-EEB0-19A417D473F3},156.7,6.39,1.7596349999999998,0.9597607736403748,0.6858105406448428
{D3D6BD6D-D72F-8722-A554-BEAE96F5995B},154.7,6.39,2.493556,0.914368146747383,0.8020267627807983
{A40B2864-109B-6716-E12C-A25A7E278B3A},155.7,6.52,1.771182,0.964290614186192,0.7051403444721249
{B7AFBCEF-8FC7-9946-E450-69A4391DC742},155.5,6.53,1.771878,0.968925534148774,0.705150734924312
{1421906E-85AD-8B68-DA0A-CB51DD52D65A},155.4,6.99,2.296853,0.8624125517030077,0.788467076121822
{426C0DB4-5E79-18B6-7CE6-E8B98FD76758},151.3,6.59,2.502764,0.9186693564964088,0.8140351644893166
{0E611A55-202C-8DDF-2FA7-93D1CE43A789},145.4,6.37,2.35688,0.8968559356087819,0.7542362515296439
{876EA0D9-AAD4-8A68-2935-77D86857E180},163.8,5.21,2.335923,0.8643339487968861,0.4666273345628912
{1DEC60A3-01B3-272D-BEE4-534355CE75A6},149.1,6.37,1.7841399999999998,1.0438139278549492,0.6761496337246586
{69F6B1E1-9B3F-7CB8-FBD4-9190674572BF},140.6,6.78,1.756234,1.0474423387058296,0.6816708047106209
{0BDC6E87-9CDC-AB9F-D482-112AE1C90542},153.0,6.94,1.802073,1.0510147246913717,0.7090064738997094
{05E750A3-9390-1E77-B244-BCB4C8EAAD86},168.8,5.43,1.762046,0.9763379969524866,0.4364366580630392
{132A81F2-7DC2-8787-BB9B-BF761B89A924},163.9,6.21,1.769772,0.972705232893984,0.6502769397406494
{E5BF0359-31E4-F386-FE4E-299192D8F4EC},152.2,6.7,1.782269,0.9724073324378206,0.7021109169907062
{5E72282B-C1A2-399A-C268-E229C585AFF2},157.8,6.9,2.378744,0.8886225764310736,0.8094994992909024
{50FFE408-E076-2747-9DE8-322DD621E8A6},164.5,5.86,2.407579,0.896645742515628,0.5894670756699116
{49586D8D-863C-DEB7-D0B9-39EE2E958CB8},155.2,6.65,1.749616,0.9544928839212844,0.7003695398711332
{77612088-2309-59BB-D1D6-4951A96D9E48},152.1,6.42,1.738632,0.9702295784551166,0.6816613671377842
{24347DB6-36B0-366C-32C7-073832FABED3},120.0,5.38,2.344791,0.9180666963449856,0.3924605267138099
{EE810897-EB4E-C3F8-A855-7DE5D1C48B8A},179.3,6.4,1.692553,0.968828455475355,0.7054441936279464
{EC26DA69-4463-675F-E863-979C9E08C2A5},150.7,7.04,2.542244,0.8896941173835565,0.8137074952105989
{498555BA-7868-B489-765D-49E554194811},41.0,9.32,2.087403,0.853124563200361,0.2326707504791763
{F33B671D-493B-6709-E429-2F2EE9A58CB1},73.5,8.67,2.066039,0.8409779746083176,0.5421312228838647
{D06B3FED-3E1D-ABAF-A766-F98CCC966FE4},100.2,8.62,2.029203,0.8247857255213737,0.60635330873344
{A671209D-7C7D-BC13-5A80-D77D5BE91CA3},122.0,8.51,2.128367,0.8489788282522388,0.6897576290735854
{C0C7D3C6-965D-6D74-499A-F6F149E1BDE3},139.2,8.41,2.271368,0.8885237834262201,0.7514142572563854
{FC1E2A4E-F13B-D1D4-613E-3C765EDBC72B},151.0,8.27,2.365373,0.9080904046680386,0.7938996927091203
{84AC99B2-1D8B-91C7-14E6-512465E5B234},159.9,8.08,2.31754,0.8863583862780704,0.8039023128975388
{BE253A5B-9DDB-9264-28A5-1A5AD173B9A2},187.7,5.75,1.62437,0.9610525151180423,0.5161562163487114
{CCF09466-EAB1-F34C-EC87-3DEEAEEBFDE0},149.3,6.67,2.558803,0.91371038899778,0.8143509182395843
{33CC258B-8A49-35B2-D665-3BA798B12D64},139.9,5.52,2.3273330000000003,0.8706269599864432,0.4303538734581401
{83FCD7E1-5719-A916-5389-56A69EECD69D},194.5,5.6,1.648803,0.9436538705877908,0.4886393192904468
{7860DD30-94C2-16A2-2029-E25E02340B5B},134.3,6.02,1.737065,1.0690933418348822,0.5303986118638284
{A8BE021B-7D43-A9EE-BECE-3EB54A378AB3},169.9,6.29,1.675498,0.9354512727288968,0.6653288598822495
{80A0EFB3-717A-D19B-2DCD-5AAFD8DF2584},162.6,6.32,1.707085,0.94844641989027,0.6688695314678996
{4D017683-8D2C-A798-532C-625E9BD4664F},153.8,6.49,1.827671,0.9537603866660336,0.7101818652480824
{AAA3F094-4BF3-9076-5873-7928D303EDCD},114.8,6.08,1.6924009999999998,0.9598724330063432,0.5035673939845077
{B59E4028-B1CF-5548-4C2B-67B3ED97D347},155.8,6.71,1.778468,1.0725719393004425,0.7095297927118658
{658EAE98-541B-1F7A-950E-6FE2A77C33E5},162.1,7.15,2.474912,0.8879181435931287,0.8335768468623922
{A1F4A7E5-1667-48C2-B876-9785FB934FD8},178.9,6.19,1.70174,0.9444000783605552,0.6525553704359988
{CB7F26B2-AF22-42B0-998C-2F49B1B96C12},156.6,7.41,2.560185,0.9093093406669516,0.8333850987173766
{3FB38A41-0363-47A6-6ACB-313C85DA80D2},164.9,6.64,1.727722,0.9399519938022824,0.7091475274953595
{CEB19E2A-E477-6A44-B58A-3252D455EEBA},184.8,5.73,1.621807,0.9465674384074296,0.5058262915342546
{82057D2E-FE98-5629-A6F4-FCD1925EA014},168.0,6.55,2.412208,0.8515584788777341,0.8314305384406665
{E65E974B-D862-4929-9747-9E433265D7E8},149.0,6.27,1.665838,0.9626895515487748,0.6284981853396595
{38DD30DA-BC59-E86C-E991-EE1AEB42A133},148.2,7.17,2.514408,0.8705241408344596,0.8020772385777157
{5D7BEDB7-62D3-FDA8-B73D-02AAC1833468},189.9,5.84,1.6643819999999998,0.9518303660274549,0.5487088069027729
{5C195AB5-7974-9563-15CD-A7E582E2EE1F},175.2,6.59,1.670315,0.94794816439202,0.711304690951263
{41340A98-336D-B5F3-8B66-D10971993FAA},164.8,5.82,1.681155,0.9596071738435544,0.5064523732432757
{22C57A8C-0DC4-60AF-C64E-ABBA0258751F},128.1,6.14,2.714709,0.9114704484042352,0.6657963887349779
{B2C0C2DE-6978-32C6-5C6E-11F170D09C4B},124.7,6.24,1.891042,0.9421542119236908,0.6051089501842619
{6A788641-3118-E177-B468-8DA2C9186A15},112.2,6.64,2.761694,0.9109736326047266,0.7279446264810507
{34384ED5-BD17-FC2A-DABB-79FD349A6EC5},169.9,5.75,1.729725,0.9516915016943353,0.4973990735827409
{5A84ABD6-8652-CC5A-6B72-45CB5FF0E219},166.8,6.09,1.757561,0.9619555014556084,0.6117321140899186
{CC26D5CD-C0BC-1B09-7171-4A1A9361B4D3},119.7,6.5,2.78105,0.9178388896626336,0.7482202503698927
{E6033E2C-E496-3CE3-70B8-E426ED456D21},109.8,8.56,2.521915,0.9243726278248472,0.699065100290918
{D18E6191-A2E5-0CB3-64F1-4AC07DFE7B51},126.0,8.23,2.18268,0.8660541896901031,0.7081364920116926
{8BAD5B87-1FF9-874C-DD76-5E134A82BB95},113.1,8.22,2.469381,0.9264805362177736,0.7127618763926271
{E79E7A7A-1E1F-D797-EA6B-3C12177C6AA4},89.0,8.87,2.318111,0.896861598983554,0.5350832952309654
{14CC4631-9438-0DE4-CAED-BC7BCC789A80},111.4,8.56,2.4544,0.9192605765154092,0.6970188281300599
{75917368-C4F2-2D58-004B-37AF8D9618ED},113.8,8.67,2.461365,0.9260489683478176,0.6778906899948359
{DA70701C-E8A8-D64A-2AE7-3A9E2DF39CCA},112.9,8.56,2.498568,0.9301908617052128,0.7053214693402211
{7E159610-4425-E575-C312-ECD68791BBFA},106.8,8.52,2.433795,0.9213005286378632,0.6909506135955291
{14E79BDB-D31D-D8E8-D107-2AF218B05786},114.6,8.56,2.493576,0.9323490779055146,0.7093538768201343
{A72C06C9-96B8-3AE0-B413-E44B533B7D80},112.1,8.53,2.439251,0.9191672048962944,0.7027039176755261
{8460FA6C-2936-6A32-8389-63A7146F26C3},104.1,8.47,2.489123,0.9325705041289214,0.6926727980453347
{AC425BA5-CC86-AE9C-C831-C8545F35FE82},103.5,8.7,2.402423,0.9094912667111364,0.6369765302893747
{0B7CDECF-A1DB-7731-A7DE-0E1A86BC4242},85.7,8.55,2.452443,0.9275955596925872,0.6379105303198831
{6843B784-18B9-EA48-EE6A-C75E98956A45},108.4,8.52,2.496475,0.9333108773210104,0.7008407691964162
{B8B9BA55-6BC1-7FD3-6E1C-7C5E404F07CA},101.3,8.52,2.407724,0.9216619991333546,0.6754839821501448
{19A519CC-4DDA-FF5C-EAB4-3A62C7102D74},125.6,8.66,2.46258,0.9217601697256256,0.7107013885564163
{510B74E2-52ED-BE1C-6249-B3AA0C6C1F3B},117.9,8.43,2.506064,0.9307763018371776,0.728182370699105
{9DDC0334-E767-1FC1-2A06-35B8141EC633},43.6,9.36,1.847112,0.7730950765577215,0.178083896367944
{6EEFD396-7CA7-B98B-468A-8C9585C22F7E},113.7,8.43,2.501912,0.9270811331983052,0.717032468860383
{326792BA-52B0-346B-B5B6-1C8C1243BDB4},150.5,8.36,2.518045,0.9242841972617744,0.8142717795476295
{8B21CCD7-D881-3331-5473-8C59AC6BCE49},149.2,8.43,2.498724,0.9206377161241404,0.808295090712082
{19651B27-3417-0077-5548-D2598D138A16},147.3,8.49,2.49615,0.919044619217703,0.8028963691028472
{4827C4CD-35E3-7280-3217-E764C1837CA7},152.0,8.47,2.462447,0.9109350815771484,0.8100423031274113
{C28CEA12-11B2-2DA7-EA6C-01A3C921D584},152.1,8.39,2.539068,0.9285082428040708,0.8212765921656353
{32BEA849-67C7-3B6A-EF9B-8E44A584DA3E},141.6,8.4,2.5007200000000003,0.9237136189323024,0.7888704458964522
{1E991928-C9E8-5A2E-E2CB-470C75FA7179},139.4,8.47,2.492221,0.9229033029750252,0.7821336025397112
{2035BE8E-3514-264D-B970-5697254F7DB4},145.4,8.45,2.489779,0.9208784258608572,0.7973881046020231
{E1B9C944-ECD0-2886-A9A3-A5D85C7A8511},136.3,8.35,2.557794,0.9336984225139464,0.7810086984138769
{4E136BD3-2AF4-A606-E15E-6D1EF6CA9FC8},150.0,8.55,2.4484,0.915145349032788,0.7972479390839162
{7E8C6C4A-8588-65CF-733A-5D8B7F3806F3},130.1,8.68,2.394231,0.9003901314126863,0.7073500046138146
{C1D69E3B-ED77-43DC-AAB2-9C11978073B2},126.2,8.88,2.302212,0.8794910271142514,0.6131097602590726
{8BA2A463-189D-9C7A-FAB7-9213ED06F56D},141.8,8.47,2.476783,0.9226153314330584,0.786708550643034
{551AEBBE-9DC2-5FAE-193C-69974EBE02EB},145.7,8.54,2.464635,0.9228043177912316,0.7905178545632693
{FEE2BCB8-3D56-4825-CD39-70B89C1AC7BE},113.5,8.85,2.137965,0.8413538068734772,0.5745916175357433
{751654AE-5591-0253-5792-4CABD44D12CC},145.9,8.39,2.52131,0.9250422656749886,0.8025302596990362
{FDF85545-995D-3C82-54A9-180A45AAFC7E},144.3,8.36,2.530084,0.9245250821173918,0.7991356609459142
{2116DDAD-6554-3D42-C155-2C19C12E7E8E},141.1,8.37,2.50967,0.9255249080069538,0.7886342025866856
{E4793B85-8A73-61EC-4518-15D0A3827710},77.3,8.28,2.482185,0.935328124222816,0.6313485075500651
{402AA53C-4373-9E2B-3C34-6428E1FE98E3},84.5,8.72,2.323747,0.8973932983991526,0.5782606860326707
{AADA8055-CA0E-260A-6A61-D394CB53698C},75.7,8.9,2.120137,0.8445364611030448,0.4705098069212478
{AC505972-B229-9EFD-7CAB-92DD85BBC3A8},145.4,8.35,2.504631,0.9230440100727968,0.799233249710556
{7DA8C7EE-17CD-AD52-1CEE-8D94AEEFF62C},147.6,8.37,2.507674,0.9214846650970974,0.8052099558037427
{37A7AC43-392C-DBAA-4A04-B243832E59DC},148.6,8.31,2.520173,0.9234098746044176,0.8094109604664844
{DEB28811-229E-51ED-A486-E9CB10EE204C},147.2,8.36,2.537767,0.929450841160653,0.8081212699315016
{E95AC984-62C1-E954-3ED9-5D4E2FB35BFA},131.5,8.33,2.521631,0.9276479542774068,0.7645754441483117
{2A6E732B-42A3-2A6E-E187-CE24495A094D},124.7,8.31,2.504233,0.9288453456900804,0.7453456235266951
{9B419D4D-F73A-7BE7-23F9-E908B37BBF3A},142.4,8.37,2.534177,0.9295065816500194,0.79489358338495
{5F5B8DAB-8FC4-8769-12DB-02636BEA884B},120.7,8.3,2.135434,0.8444188731770587,0.6890637611697342
{C6C1388B-0EAE-5C5F-C476-1B591EB91AB6},150.1,8.36,2.551158,0.9329021259416664,0.8176303336131021
{8ECEE342-3E2B-DECA-D6C5-193D4A4197F7},142.4,8.29,2.544576,0.935449480251926,0.7963950252809034
{945A2792-3DE2-BC64-9396-9B907C416A79},135.9,8.28,2.538455,0.9294774621977726,0.7779030413709088
{FC71DC24-696F-52C3-9545-4C055822296F},89.2,8.35,2.483579,0.9295670006164476,0.6572805951300958
{E69E74B6-E786-17A9-1E12-BCED1D5C621B},145.9,8.35,2.553435,0.9294346920375248,0.806193058823195
{37EB9BBE-1ECE-E168-E852-E78D22CEA5E1},148.4,8.3,2.499865,0.9193854054763758,0.8062216158440195
{FEF5BAA3-DBFF-29E7-D5DF-448BC2156EED},147.1,8.32,2.530529,0.92615342385536,0.8067974858257567
{4BC1C321-A266-3353-216A-5EA2E39B31FB},82.5,8.44,2.448033,0.9284387420734852,0.6397362710540956
{CB416FD7-626E-DE51-6704-7BAB99ABB296},130.5,8.28,2.547826,0.935278905046923,0.7647497088655697
{BA06F95E-16E5-E634-99A5-1F42B4808823},131.5,8.3,2.534338,0.9315699823047364,0.7659858462939415
