GUID,RUN_ID,conductivity,pH,temperature,V_c_T,V_a_T,V_c_1,V_a_1,W_T,W_1,R_W,num_components,recipe,S_pH,PI,PI_equal,PI_pca,rank_PI,rank_cond,rank_gap,score_gap_vs_cond_z
{F5D1C1C0-4C95-7269-94F9-6BD33CB52EE2},A08092019ythtqw,86.9,8.75,22.1,1.60669,-0.973062,1.508416,-0.875937,2.579752,2.384353,0.9242566727344333,2,LiNO3:1.00; Li2SO4:3.00,0.75,0.5812380315823162,0.5488286970092253,0.6874317129450004,207,222,15,0.05976095617529881
{69A49FAD-2376-C931-EB8A-96036768C9D8},A08092019ythtqw,98.9,8.65,22.2,1.65904,-0.955196,1.555428,-0.674295,2.614236,2.229723,0.8529157275777703,2,LiNO3:2.00; Li2SO4:3.00,0.8499999999999996,0.61949893481586,0.5921249764432356,0.5917553363482518,193,215,22,0.08764940239043825
{CFC2A9CE-0D7B-9BBD-8881-B9C24619DB21},A08092019ythtqw,106.8,8.52,22.2,1.69174,-0.97162,1.593115,-0.873331,2.66336,2.466446,0.9260655713084224,2,LiNO3:3.00; Li2SO4:3.00,0.9800000000000004,0.6940302582326815,0.6613036649404606,0.8360295663439429,152,206,54,0.21713147410358563
{AA671CDC-B22E-64B4-3E61-4AA24E93BAE8},A08092019ythtqw,110.2,8.36,22.0,1.721606,-0.995982,1.618909,-0.912605,2.717588,2.531514,0.931529724152447,2,LiNO3:4.00; Li2SO4:3.00,1.0,0.7108706831981483,0.6773311391307506,0.8820815709911713,125,202,77,0.30677290836653387
{E44FB683-610A-FD8C-5BE5-AC6818233D3A},A08092019ythtqw,86.7,8.59,22.2,1.634534,-0.978941,1.541299,-0.843366,2.6134749999999998,2.384665,0.9124498990807259,2,LiNO3:1.00; Li2SO4:4.00,0.9100000000000001,0.6252095356584012,0.5885685187047276,0.7225003005586765,191,223,32,0.12749003984063745
{038F6478-5D85-3F7D-E442-2CA54C027760},A08092019ythtqw,94.5,8.49,22.0,1.658044,-0.98739,1.557174,-0.90482,2.645434,2.461994,0.9306578807106887,2,LiNO3:2.00; Li2SO4:4.00,1.0,0.6677779055155674,0.6313626579316384,0.8208682176886503,170,217,47,0.18725099601593626
{F777D1FA-6CBF-C227-CBD7-6DF44F5726A4},A08092019ythtqw,98.4,8.35,22.1,1.683027,-0.989729,1.576549,-0.922128,2.672756,2.498677,0.9348691014069371,2,LiNO3:3.00; Li2SO4:4.00,1.0,0.6799030862020449,0.6437103346766601,0.8488422140765692,160,216,56,0.22310756972111553
{EBE7F746-2744-CC07-2FE8-974E7962D177},A08092019ythtqw,83.4,8.44,22.2,1.642071,-0.987164,1.546889,-0.881636,2.629235,2.428525,0.923662205926819,2,LiNO3:1.00; Li2SO4:5.00,1.0,0.6400035023555206,0.601059288320088,0.7756448043847548,183,228,45,0.1792828685258964
{1AB2F97D-49C6-37BC-C393-4D0D4DDADC27},A08092019ythtqw,87.7,8.33,22.0,1.688299,-1.001394,1.589748,-0.909906,2.689693,2.499654,0.9293454680515583,2,LiNO3:2.00; Li2SO4:5.00,1.0,0.6550725992825277,0.6153851977887692,0.8199382523573308,176,221,45,0.17928286852589642
{7D49E1E7-DA6B-5398-E88E-1CDBB4ED4821},A08092019ythtqw,78.2,8.28,22.1,1.675363,-1.022947,1.573412,-0.933363,2.69831,2.506775,0.9290166808113226,2,LiNO3:1.00; Li2SO4:6.00,1.0,0.6347491682365717,0.5922688067136281,0.8025855986480172,188,231,43,0.1713147410358566
{2631565A-3DD4-93AB-D447-711533898A4C},A08092019ythtqw,37.6,8.55,22.1,1.507803,-0.896078,1.423587,-0.419998,2.403881,1.843585,0.7669202427241615,1,Li2SO4:1.00,0.9499999999999993,0.4939519178345367,0.45907920303625854,0.23354949304218536,236,247,11,0.043824701195219126
{30D186D1-8D4B-7FCE-3309-934A1C598E76},A08092019ythtqw,57.5,8.67,22.1,1.515692,-0.95657,1.429927,-0.694409,2.472262,2.124336,0.8592681520000711,1,Li2SO4:2.00,0.8300000000000001,0.5181152355600271,0.4815695926272364,0.46586743395310437,225,243,18,0.07171314741035856
{468DBDC0-3C59-54DF-40D2-6437461BFE6D},A08092019ythtqw,69.0,8.64,22.0,1.539432,-0.926033,1.451185,-0.583623,2.465465,2.034808,0.825324228897997,1,Li2SO4:3.00,0.8599999999999994,0.5386119198959989,0.5073656923514586,0.42053596886685496,216,242,26,0.10358565737051795
